case_group,case,level,bucket,count,pct
70K,case_ACTIVSg70k,8,17-32,45,26.63
70K,case_ACTIVSg70k,8,33-48,53,31.36
70K,case_ACTIVSg70k,8,49-64,46,27.22
70K,case_ACTIVSg70k,8,65-80,16,9.47
70K,case_ACTIVSg70k,8,81-96,5,2.96
70K,case_ACTIVSg70k,9,9-16,1,0.84
70K,case_ACTIVSg70k,9,17-32,7,5.88
70K,case_ACTIVSg70k,9,33-48,29,24.37
70K,case_ACTIVSg70k,9,49-64,28,23.53
70K,case_ACTIVSg70k,9,65-80,42,35.29
70K,case_ACTIVSg70k,9,81-96,12,10.08
70K,case_ACTIVSg70k,10,17-32,6,7.32
70K,case_ACTIVSg70k,10,33-48,14,17.07
70K,case_ACTIVSg70k,10,49-64,28,34.15
70K,case_ACTIVSg70k,10,65-80,18,21.95
70K,case_ACTIVSg70k,10,81-96,13,15.85
70K,case_ACTIVSg70k,10,97-128,3,3.66
70K,case_ACTIVSg70k,11,17-32,1,1.89
70K,case_ACTIVSg70k,11,33-48,8,15.09
70K,case_ACTIVSg70k,11,49-64,11,20.75
70K,case_ACTIVSg70k,11,65-80,13,24.53
70K,case_ACTIVSg70k,11,81-96,10,18.87
70K,case_ACTIVSg70k,11,97-128,10,18.87
70K,case_ACTIVSg70k,12,33-48,5,15.15
70K,case_ACTIVSg70k,12,49-64,4,12.12
70K,case_ACTIVSg70k,12,65-80,8,24.24
70K,case_ACTIVSg70k,12,81-96,9,27.27
70K,case_ACTIVSg70k,12,97-128,7,21.21
70K,case_ACTIVSg70k,13,33-48,2,7.69
70K,case_ACTIVSg70k,13,49-64,7,26.92
70K,case_ACTIVSg70k,13,65-80,4,15.38
70K,case_ACTIVSg70k,13,81-96,4,15.38
70K,case_ACTIVSg70k,13,97-128,7,26.92
70K,case_ACTIVSg70k,13,129-192,2,7.69
70K,case_ACTIVSg70k,14,49-64,1,5.00
70K,case_ACTIVSg70k,14,65-80,1,5.00
70K,case_ACTIVSg70k,14,81-96,6,30.00
70K,case_ACTIVSg70k,14,97-128,11,55.00
70K,case_ACTIVSg70k,14,129-192,1,5.00
70K,case_ACTIVSg70k,15,33-48,1,6.25
70K,case_ACTIVSg70k,15,49-64,1,6.25
70K,case_ACTIVSg70k,15,65-80,1,6.25
70K,case_ACTIVSg70k,15,81-96,3,18.75
70K,case_ACTIVSg70k,15,97-128,4,25.00
70K,case_ACTIVSg70k,15,129-192,6,37.50
70K,case_ACTIVSg70k,16,65-80,1,7.14
70K,case_ACTIVSg70k,16,81-96,3,21.43
70K,case_ACTIVSg70k,16,97-128,5,35.71
70K,case_ACTIVSg70k,16,129-192,4,28.57
70K,case_ACTIVSg70k,16,193-256,1,7.14
70K,case_ACTIVSg70k,17,49-64,1,10.00
70K,case_ACTIVSg70k,17,65-80,1,10.00
70K,case_ACTIVSg70k,17,97-128,2,20.00
70K,case_ACTIVSg70k,17,129-192,6,60.00
70K,case_ACTIVSg70k,18,33-48,1,12.50
70K,case_ACTIVSg70k,18,129-192,7,87.50
70K,case_ACTIVSg70k,19,97-128,1,14.29
70K,case_ACTIVSg70k,19,129-192,4,57.14
70K,case_ACTIVSg70k,19,193-256,2,28.57
70K,case_ACTIVSg70k,20,97-128,2,28.57
70K,case_ACTIVSg70k,20,129-192,4,57.14
70K,case_ACTIVSg70k,20,193-256,1,14.29
70K,case_ACTIVSg70k,21,65-80,1,20.00
70K,case_ACTIVSg70k,21,81-96,1,20.00
70K,case_ACTIVSg70k,21,129-192,2,40.00
70K,case_ACTIVSg70k,21,193-256,1,20.00
70K,case_ACTIVSg70k,22,65-80,1,20.00
70K,case_ACTIVSg70k,22,129-192,3,60.00
70K,case_ACTIVSg70k,22,193-256,1,20.00
70K,case_ACTIVSg70k,23,97-128,1,33.33
70K,case_ACTIVSg70k,23,129-192,1,33.33
70K,case_ACTIVSg70k,23,>256,1,33.33
70K,case_ACTIVSg70k,24,129-192,2,66.67
70K,case_ACTIVSg70k,24,>256,1,33.33
70K,case_ACTIVSg70k,25,129-192,2,66.67
70K,case_ACTIVSg70k,25,193-256,1,33.33
70K,case_ACTIVSg70k,26,97-128,1,33.33
70K,case_ACTIVSg70k,26,193-256,2,66.67
70K,case_ACTIVSg70k,27,97-128,1,50.00
70K,case_ACTIVSg70k,27,129-192,1,50.00
70K,case_ACTIVSg70k,28,129-192,1,100.00
70K,case_ACTIVSg70k,29,129-192,1,100.00
70K,case_ACTIVSg70k,30,97-128,1,100.00
70K,case_ACTIVSg70k,31,193-256,1,100.00
70K,case_ACTIVSg70k,32,129-192,1,100.00
70K,case_ACTIVSg70k,33,129-192,1,100.00
70K,case_ACTIVSg70k,34,129-192,1,100.00
70K,case_ACTIVSg70k,35,97-128,1,100.00
70K,case_ACTIVSg70k,36,97-128,1,100.00
70K,case_ACTIVSg70k,37,81-96,1,100.00
70K,case_ACTIVSg70k,38,49-64,1,100.00
70K,case_ACTIVSg70k,39,33-48,1,100.00
70K,case_ACTIVSg70k,40,17-32,1,100.00
70K,case_ACTIVSg70k,41,<=8,1,100.00
usa,case_SyntheticUSA,0,<=8,41085,98.89
usa,case_SyntheticUSA,0,9-16,463,1.11
usa,case_SyntheticUSA,1,<=8,14274,94.27
usa,case_SyntheticUSA,1,9-16,866,5.72
usa,case_SyntheticUSA,1,17-32,1,0.01
usa,case_SyntheticUSA,2,<=8,6022,78.76
usa,case_SyntheticUSA,2,9-16,1589,20.78
usa,case_SyntheticUSA,2,17-32,35,0.46
usa,case_SyntheticUSA,3,<=8,2042,48.83
usa,case_SyntheticUSA,3,9-16,1990,47.58
usa,case_SyntheticUSA,3,17-32,150,3.59
usa,case_SyntheticUSA,4,<=8,546,22.34
usa,case_SyntheticUSA,4,9-16,1520,62.19
usa,case_SyntheticUSA,4,17-32,367,15.02
usa,case_SyntheticUSA,4,33-48,11,0.45
usa,case_SyntheticUSA,5,<=8,127,9.50
usa,case_SyntheticUSA,5,9-16,696,52.06
usa,case_SyntheticUSA,5,17-32,472,35.30
usa,case_SyntheticUSA,5,33-48,39,2.92
usa,case_SyntheticUSA,5,49-64,2,0.15
usa,case_SyntheticUSA,5,65-80,1,0.07
usa,case_SyntheticUSA,6,<=8,22,3.09
usa,case_SyntheticUSA,6,9-16,208,29.21
usa,case_SyntheticUSA,6,17-32,375,52.67
usa,case_SyntheticUSA,6,33-48,96,13.48
usa,case_SyntheticUSA,6,49-64,9,1.26
usa,case_SyntheticUSA,6,65-80,2,0.28
usa,case_SyntheticUSA,7,<=8,4,1.06
usa,case_SyntheticUSA,7,9-16,42,11.14
usa,case_SyntheticUSA,7,17-32,174,46.15
usa,case_SyntheticUSA,7,33-48,109,28.91
usa,case_SyntheticUSA,7,49-64,41,10.88
usa,case_SyntheticUSA,7,65-80,7,1.86
usa,case_SyntheticUSA,8,9-16,9,4.02
usa,case_SyntheticUSA,8,17-32,59,26.34
usa,case_SyntheticUSA,8,33-48,71,31.70
usa,case_SyntheticUSA,8,49-64,53,23.66
usa,case_SyntheticUSA,8,65-80,22,9.82
usa,case_SyntheticUSA,8,81-96,9,4.02
usa,case_SyntheticUSA,8,97-128,1,0.45
usa,case_SyntheticUSA,9,9-16,1,0.70
usa,case_SyntheticUSA,9,17-32,17,11.89
usa,case_SyntheticUSA,9,33-48,41,28.67
usa,case_SyntheticUSA,9,49-64,41,28.67
usa,case_SyntheticUSA,9,65-80,26,18.18
usa,case_SyntheticUSA,9,81-96,13,9.09
usa,case_SyntheticUSA,9,97-128,4,2.80
usa,case_SyntheticUSA,10,17-32,3,3.30
usa,case_SyntheticUSA,10,33-48,18,19.78
usa,case_SyntheticUSA,10,49-64,27,29.67
usa,case_SyntheticUSA,10,65-80,23,25.27
usa,case_SyntheticUSA,10,81-96,12,13.19
usa,case_SyntheticUSA,10,97-128,8,8.79
usa,case_SyntheticUSA,11,17-32,2,3.17
usa,case_SyntheticUSA,11,33-48,11,17.46
usa,case_SyntheticUSA,11,49-64,16,25.40
usa,case_SyntheticUSA,11,65-80,11,17.46
usa,case_SyntheticUSA,11,81-96,13,20.63
usa,case_SyntheticUSA,11,97-128,10,15.87
usa,case_SyntheticUSA,12,17-32,1,2.00
usa,case_SyntheticUSA,12,33-48,6,12.00
usa,case_SyntheticUSA,12,49-64,9,18.00
usa,case_SyntheticUSA,12,65-80,14,28.00
usa,case_SyntheticUSA,12,81-96,7,14.00
usa,case_SyntheticUSA,12,97-128,9,18.00
usa,case_SyntheticUSA,12,129-192,4,8.00
usa,case_SyntheticUSA,13,17-32,1,2.78
usa,case_SyntheticUSA,13,33-48,6,16.67
usa,case_SyntheticUSA,13,49-64,7,19.44
usa,case_SyntheticUSA,13,65-80,5,13.89
usa,case_SyntheticUSA,13,81-96,7,19.44
usa,case_SyntheticUSA,13,97-128,7,19.44
usa,case_SyntheticUSA,13,129-192,3,8.33
usa,case_SyntheticUSA,14,17-32,1,3.70
usa,case_SyntheticUSA,14,33-48,3,11.11
usa,case_SyntheticUSA,14,49-64,4,14.81
usa,case_SyntheticUSA,14,65-80,3,11.11
usa,case_SyntheticUSA,14,81-96,5,18.52
usa,case_SyntheticUSA,14,97-128,6,22.22
usa,case_SyntheticUSA,14,129-192,5,18.52
usa,case_SyntheticUSA,15,17-32,2,10.00
usa,case_SyntheticUSA,15,33-48,2,10.00
usa,case_SyntheticUSA,15,49-64,1,5.00
usa,case_SyntheticUSA,15,65-80,1,5.00
usa,case_SyntheticUSA,15,81-96,3,15.00
usa,case_SyntheticUSA,15,97-128,8,40.00
usa,case_SyntheticUSA,15,129-192,3,15.00
usa,case_SyntheticUSA,16,33-48,1,5.56
usa,case_SyntheticUSA,16,49-64,1,5.56
usa,case_SyntheticUSA,16,65-80,3,16.67
usa,case_SyntheticUSA,16,81-96,5,27.78
usa,case_SyntheticUSA,16,97-128,5,27.78
usa,case_SyntheticUSA,16,129-192,3,16.67
usa,case_SyntheticUSA,17,9-16,1,7.14
usa,case_SyntheticUSA,17,17-32,1,7.14
usa,case_SyntheticUSA,17,49-64,1,7.14
usa,case_SyntheticUSA,17,65-80,2,14.29
usa,case_SyntheticUSA,17,81-96,1,7.14
usa,case_SyntheticUSA,17,97-128,3,21.43
usa,case_SyntheticUSA,17,129-192,5,35.71
usa,case_SyntheticUSA,18,49-64,1,10.00
usa,case_SyntheticUSA,18,65-80,1,10.00
usa,case_SyntheticUSA,18,97-128,2,20.00
usa,case_SyntheticUSA,18,129-192,6,60.00
usa,case_SyntheticUSA,19,33-48,1,16.67
usa,case_SyntheticUSA,19,97-128,1,16.67
usa,case_SyntheticUSA,19,129-192,3,50.00
usa,case_SyntheticUSA,19,193-256,1,16.67
usa,case_SyntheticUSA,20,17-32,1,16.67
usa,case_SyntheticUSA,20,97-128,1,16.67
usa,case_SyntheticUSA,20,129-192,2,33.33
usa,case_SyntheticUSA,20,193-256,2,33.33
usa,case_SyntheticUSA,21,97-128,1,25.00
usa,case_SyntheticUSA,21,129-192,2,50.00
usa,case_SyntheticUSA,21,193-256,1,25.00
usa,case_SyntheticUSA,22,97-128,1,33.33
usa,case_SyntheticUSA,22,129-192,1,33.33
usa,case_SyntheticUSA,22,193-256,1,33.33
usa,case_SyntheticUSA,23,97-128,1,33.33
usa,case_SyntheticUSA,23,129-192,1,33.33
usa,case_SyntheticUSA,23,193-256,1,33.33
usa,case_SyntheticUSA,24,65-80,1,33.33
usa,case_SyntheticUSA,24,129-192,1,33.33
usa,case_SyntheticUSA,24,193-256,1,33.33
usa,case_SyntheticUSA,25,97-128,1,50.00
usa,case_SyntheticUSA,25,129-192,1,50.00
usa,case_SyntheticUSA,26,129-192,1,50.00
usa,case_SyntheticUSA,26,193-256,1,50.00
usa,case_SyntheticUSA,27,129-192,1,50.00
usa,case_SyntheticUSA,27,193-256,1,50.00
usa,case_SyntheticUSA,28,129-192,2,100.00
usa,case_SyntheticUSA,29,97-128,1,50.00
usa,case_SyntheticUSA,29,129-192,1,50.00
usa,case_SyntheticUSA,30,129-192,1,100.00
usa,case_SyntheticUSA,31,129-192,1,100.00
usa,case_SyntheticUSA,32,129-192,1,100.00
usa,case_SyntheticUSA,33,97-128,1,100.00
usa,case_SyntheticUSA,34,97-128,1,100.00
usa,case_SyntheticUSA,35,97-128,1,100.00
usa,case_SyntheticUSA,36,81-96,1,100.00
usa,case_SyntheticUSA,37,65-80,1,100.00
usa,case_SyntheticUSA,38,33-48,1,100.00
usa,case_SyntheticUSA,39,17-32,1,100.00
usa,case_SyntheticUSA,40,<=8,1,100.00
