case_group,case,level,fronts,fsz_min,fsz_p50,fsz_p90,fsz_p99,fsz_max,fsz_avg,nc_max,uc_max,small_cnt,mid_cnt,big_cnt,dominant_bucket,sum_fsz2,sum_trailing_work
usa,case_SyntheticUSA,31,1,168,168,168,168,168,168.00,20,148,0,0,1,129-192,28224,438080
usa,case_SyntheticUSA,32,1,148,148,148,148,148,148.00,20,128,0,0,1,129-192,21904,327680
usa,case_SyntheticUSA,33,1,128,128,128,128,128,128.00,20,108,0,1,0,97-128,16384,233280
usa,case_SyntheticUSA,34,1,108,108,108,108,108,108.00,19,89,0,1,0,97-128,11664,150499
usa,case_SyntheticUSA,35,1,107,107,107,107,107,107.00,20,87,0,1,0,97-128,11449,151380
usa,case_SyntheticUSA,36,1,87,87,87,87,87,87.00,20,67,0,1,0,81-96,7569,89780
usa,case_SyntheticUSA,37,1,67,67,67,67,67,67.00,20,47,0,1,0,65-80,4489,44180
usa,case_SyntheticUSA,38,1,47,47,47,47,47,47.00,20,27,0,1,0,33-48,2209,14580
usa,case_SyntheticUSA,39,1,27,27,27,27,27,27.00,20,7,1,0,0,17-32,729,980
usa,case_SyntheticUSA,40,1,7,7,7,7,7,7.00,7,0,1,0,0,<=8,49,0
