case,metric,row_length,count
case_ACTIVSg25k,jacobian_csr_rows,20,10
case_ACTIVSg25k,jacobian_csr_rows,21,6
case_ACTIVSg25k,jacobian_csr_rows,22,2
case_ACTIVSg25k,jacobian_csr_rows,23,4
case_ACTIVSg25k,jacobian_csr_rows,24,2
case_ACTIVSg500,ybus_all_rows,2,261
case_ACTIVSg500,ybus_all_rows,3,22
case_ACTIVSg500,ybus_all_rows,4,132
case_ACTIVSg500,ybus_all_rows,5,31
case_ACTIVSg500,ybus_all_rows,6,24
case_ACTIVSg500,ybus_all_rows,7,12
case_ACTIVSg500,ybus_all_rows,8,9
case_ACTIVSg500,ybus_all_rows,9,4
case_ACTIVSg500,ybus_all_rows,10,2
case_ACTIVSg500,ybus_all_rows,11,1
case_ACTIVSg500,ybus_all_rows,15,2
case_ACTIVSg500,ybus_active_pvpq_rows,2,260
case_ACTIVSg500,ybus_active_pvpq_rows,3,22
case_ACTIVSg500,ybus_active_pvpq_rows,4,132
case_ACTIVSg500,ybus_active_pvpq_rows,5,31
case_ACTIVSg500,ybus_active_pvpq_rows,6,24
case_ACTIVSg500,ybus_active_pvpq_rows,7,12
case_ACTIVSg500,ybus_active_pvpq_rows,8,9
case_ACTIVSg500,ybus_active_pvpq_rows,9,4
case_ACTIVSg500,ybus_active_pvpq_rows,10,2
case_ACTIVSg500,ybus_active_pvpq_rows,11,1
case_ACTIVSg500,ybus_active_pvpq_rows,15,2
case_ACTIVSg500,jacobian_csr_rows,3,55
case_ACTIVSg500,jacobian_csr_rows,4,410
case_ACTIVSg500,jacobian_csr_rows,6,44
case_ACTIVSg500,jacobian_csr_rows,7,2
case_ACTIVSg500,jacobian_csr_rows,8,266
case_ACTIVSg500,jacobian_csr_rows,9,8
case_ACTIVSg500,jacobian_csr_rows,10,60
case_ACTIVSg500,jacobian_csr_rows,11,6
case_ACTIVSg500,jacobian_csr_rows,12,44
case_ACTIVSg500,jacobian_csr_rows,14,20
case_ACTIVSg500,jacobian_csr_rows,16,14
case_ACTIVSg500,jacobian_csr_rows,18,6
case_ACTIVSg500,jacobian_csr_rows,20,2
case_ACTIVSg500,jacobian_csr_rows,21,2
case_ACTIVSg500,jacobian_csr_rows,22,2
case_ACTIVSg500,jacobian_csr_rows,30,2
case_ACTIVSg70k,ybus_all_rows,2,22515
case_ACTIVSg70k,ybus_all_rows,3,15946
case_ACTIVSg70k,ybus_all_rows,4,19881
case_ACTIVSg70k,ybus_all_rows,5,7785
case_ACTIVSg70k,ybus_all_rows,6,2590
case_ACTIVSg70k,ybus_all_rows,7,806
case_ACTIVSg70k,ybus_all_rows,8,256
case_ACTIVSg70k,ybus_all_rows,9,150
case_ACTIVSg70k,ybus_all_rows,10,57
case_ACTIVSg70k,ybus_all_rows,11,8
case_ACTIVSg70k,ybus_all_rows,12,2
case_ACTIVSg70k,ybus_all_rows,13,2
case_ACTIVSg70k,ybus_all_rows,14,1
case_ACTIVSg70k,ybus_all_rows,17,1
case_ACTIVSg70k,ybus_active_pvpq_rows,2,22514
case_ACTIVSg70k,ybus_active_pvpq_rows,3,15946
case_ACTIVSg70k,ybus_active_pvpq_rows,4,19881
case_ACTIVSg70k,ybus_active_pvpq_rows,5,7785
case_ACTIVSg70k,ybus_active_pvpq_rows,6,2590
case_ACTIVSg70k,ybus_active_pvpq_rows,7,806
case_ACTIVSg70k,ybus_active_pvpq_rows,8,256
case_ACTIVSg70k,ybus_active_pvpq_rows,9,150
case_ACTIVSg70k,ybus_active_pvpq_rows,10,57
case_ACTIVSg70k,ybus_active_pvpq_rows,11,8
case_ACTIVSg70k,ybus_active_pvpq_rows,12,2
case_ACTIVSg70k,ybus_active_pvpq_rows,13,2
case_ACTIVSg70k,ybus_active_pvpq_rows,14,1
case_ACTIVSg70k,ybus_active_pvpq_rows,17,1
case_ACTIVSg70k,jacobian_csr_rows,3,5894
case_ACTIVSg70k,jacobian_csr_rows,4,33818
case_ACTIVSg70k,jacobian_csr_rows,5,1049
case_ACTIVSg70k,jacobian_csr_rows,6,31430
case_ACTIVSg70k,jacobian_csr_rows,7,2787
case_ACTIVSg70k,jacobian_csr_rows,8,36512
case_ACTIVSg70k,jacobian_csr_rows,9,1816
case_ACTIVSg70k,jacobian_csr_rows,10,13899
case_ACTIVSg70k,jacobian_csr_rows,11,704
case_ACTIVSg70k,jacobian_csr_rows,12,4318
case_ACTIVSg70k,jacobian_csr_rows,13,215
case_ACTIVSg70k,jacobian_csr_rows,14,1205
case_ACTIVSg70k,jacobian_csr_rows,15,65
case_ACTIVSg70k,jacobian_csr_rows,16,262
case_ACTIVSg70k,jacobian_csr_rows,17,10
case_ACTIVSg70k,jacobian_csr_rows,18,94
case_ACTIVSg70k,jacobian_csr_rows,19,4
case_ACTIVSg70k,jacobian_csr_rows,20,8
case_ACTIVSg70k,jacobian_csr_rows,21,2
case_ACTIVSg70k,jacobian_csr_rows,22,6
case_ACTIVSg70k,jacobian_csr_rows,26,2
case_ACTIVSg70k,jacobian_csr_rows,28,2
case_ACTIVSg70k,jacobian_csr_rows,34,2
